Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
334139,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
860030,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
867160,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
872302,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
877096,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
877321,00000564,false,Rx,1,8,D3,73,FF,FE,FB,0F,FE,FE,
877563,0000067E,false,Rx,1,8,D5,03,FE,01,3B,00,00,38,
967091,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
982254,00000564,false,Rx,1,8,C0,74,FF,FE,FB,0F,FE,FE,
1067094,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
1072297,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
1087105,00000564,false,Rx,1,8,A4,75,FF,FE,FB,0F,FE,FE,
1167100,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
1192272,00000564,false,Rx,1,8,E4,76,FF,FE,FB,2F,FE,FE,
1267105,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
1272308,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
1297115,00000564,false,Rx,1,8,80,77,FF,FE,FB,2F,FE,FE,
1367114,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1367162,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
1387603,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
1402277,00000564,false,Rx,1,8,CD,08,00,5B,F9,27,37,00,
1467112,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1472316,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
1507114,00000564,false,Rx,1,8,A9,09,00,5B,F9,27,37,00,
1567115,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1612282,00000564,false,Rx,1,8,05,0A,00,5B,F9,27,37,00,
1667118,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1672321,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
1717125,00000564,false,Rx,1,8,61,0B,00,5B,F9,27,37,00,
1767118,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1822282,00000564,false,Rx,1,8,72,0C,00,5B,F9,27,37,00,
1867122,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
1867170,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
1867359,0000067E,false,Rx,1,8,19,04,00,00,3B,00,00,00,
1872326,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
1910689,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
1927132,00000564,false,Rx,1,8,16,0D,00,5B,F9,27,37,00,
1967127,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2067133,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2072336,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2167131,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2267137,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2272340,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2367139,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2367187,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
2443104,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
2467145,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2472338,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2567145,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2667148,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2672351,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2767156,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2867150,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2867228,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
2867386,00000564,false,Rx,1,8,BA,0E,00,5B,F9,27,37,00,
2867925,0000067E,false,Rx,1,8,81,05,00,00,3B,00,00,F0,
2872355,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2967158,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2977269,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
3067165,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3072358,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
3167164,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3267171,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3272364,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
3367173,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3367221,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
3467167,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3472371,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
3515886,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
3567178,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3667181,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3672375,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
3767183,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3867188,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
3867256,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
3867414,00000564,false,Rx,1,8,DE,0F,00,5B,F9,27,37,00,
3867953,0000067E,false,Rx,1,8,2D,06,00,00,3B,00,00,F0,
3872382,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
3967183,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4048302,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
4067193,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4072386,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
4167198,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4267191,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4272392,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
4367196,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4367244,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
4467200,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4472403,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
4567202,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4584735,00000570,false,Tx,0,1,FF,00,00,00,00,00,00,00,
4667202,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4672405,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
4767208,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4867208,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
4867286,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
4867434,00000564,false,Rx,1,8,9C,00,00,5B,F9,27,37,00,
