Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
17360940,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22351149,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
22445954,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22545957,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22546026,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
22546175,00000564,false,Rx,1,8,A9,0C,00,00,F8,17,37,00,
22546724,0000067E,false,Rx,1,8,E5,04,00,00,3B,00,00,F0,
22551183,1B000044,true,Rx,0,8,44,00,04,01,00,00,00,00,
22645956,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22745959,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22845962,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
22945964,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23045978,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23046027,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
23145972,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23245975,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23345988,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23445992,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23545985,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
23546066,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
23546214,00000564,false,Rx,1,8,CD,0D,00,00,F8,17,37,00,
23546762,0000067E,false,Rx,1,8,81,05,00,00,3B,00,00,F0,
