Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
32201229,0000038B,FALSE,Rx,1,8,0,0,FE,0,0,0,0,0
32201465,564,FALSE,Rx,1,8,D3,73,FF,FE,FB,0F,FE,FE
32201698,0000067E,FALSE,Rx,1,8,D5,3,FE,1,3B,0,0,38
32291240,0000038B,FALSE,Rx,1,8,0,0,FE,0,0,0,0,0
32306320,564,FALSE,Rx,1,8,C0,74,FF,FE,FB,0F,FE,FE
32391243,0000038B,FALSE,Rx,1,8,0,0,FE,0,0,0,0,0
32411253,564,FALSE,Rx,1,8,A4,75,FF,FE,FB,0F,FE,FE
32491245,0000038B,FALSE,Rx,1,8,0,0,FE,0,0,0,0,0
32516331,564,FALSE,Rx,1,8,7E,76,FF,FE,FB,1F,FE,FE
32591248,0000038B,FALSE,Rx,1,8,0,0,FE,0,0,0,0,0
32621258,564,FALSE,Rx,1,8,1A,77,FF,FE,FB,1F,FE,FE
32691257,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
32726338,564,FALSE,Rx,1,8,5E,8,0,0,F8,17,3B,0
32791255,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
32831271,564,FALSE,Rx,1,8,34,9,0,0,F8,17,3A,0
32891252,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
32936343,564,FALSE,Rx,1,8,98,0A,0,0,F8,17,3A,0
32991262,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33041275,564,FALSE,Rx,1,8,FC,0B,0,0,F8,17,3A,0
33091268,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33146350,564,FALSE,Rx,1,8,EF,0C,0,0,F8,17,3A,0
33191263,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33191500,0000067E,FALSE,Rx,1,8,19,4,0,0,3B,0,0,0
33251278,564,FALSE,Rx,1,8,8B,0D,0,0,F8,17,3A,0
33291270,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33391274,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33491279,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33591283,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33691278,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33791282,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33891285,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
33991289,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34091292,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34191295,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34191524,564,FALSE,Rx,1,8,27,0E,0,0,F8,17,3A,0
34192072,0000067E,FALSE,Rx,1,8,81,5,0,0,3B,0,0,F0
34291295,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34391300,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34491305,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34591308,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34691311,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34791315,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34891315,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
34991320,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35091323,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35191326,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35191554,564,FALSE,Rx,1,8,43,0F,0,0,F8,17,3A,0
35192092,0000067E,FALSE,Rx,1,8,2D,6,0,0,3B,0,0,F0
35291324,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35391328,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35491335,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35591338,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35691341,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35791335,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35891350,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
35991343,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36091350,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36191353,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36191592,564,FALSE,Rx,1,8,1,0,0,0,F8,17,3A,0
36192130,0000067E,FALSE,Rx,1,8,49,7,0,0,3B,0,0,F0
36291354,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36391357,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36491360,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36591363,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36691367,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36791363,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36891366,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
36991368,0000038B,FALSE,Rx,1,8,0,0,0,0,0,0,0,0
