Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
203624755,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
203675811,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
203675878,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
203676044,00000564,false,Rx,1,8,1B,71,FF,FE,FB,0F,FE,FE,
203676577,0000067E,false,Rx,1,8,1D,01,FE,01,3B,00,00,38,
203680947,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
203775814,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
203780901,00000564,false,Rx,1,8,B7,72,FF,FE,FB,0F,FE,FE,
203875826,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
203880940,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
203885837,00000564,false,Rx,1,8,D3,73,FF,FE,FB,0F,FE,FE,
203975839,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
203990919,00000564,false,Rx,1,8,B6,74,FF,FE,FB,1F,FE,FE,
204075834,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
204080957,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
204095851,00000564,false,Rx,1,8,D2,75,FF,FE,FB,1F,FE,FE,
204159367,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
204175849,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204175897,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
204200937,00000564,false,Rx,1,8,6A,06,00,00,F8,17,38,00,
204275859,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204280974,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
204305871,00000564,false,Rx,1,8,54,07,00,00,F8,17,37,00,
204375866,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204410949,00000564,false,Rx,1,8,16,08,00,00,F8,17,37,00,
204475869,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204480982,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
204515886,00000564,false,Rx,1,8,72,09,00,00,F8,17,37,00,
204575874,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204620970,00000564,false,Rx,1,8,DE,0A,00,00,F8,17,37,00,
204675880,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204675928,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
204676115,0000067E,false,Rx,1,8,6E,02,00,00,3B,00,00,00,
204681007,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
204691533,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
204725898,00000564,false,Rx,1,8,BA,0B,00,00,F8,17,37,00,
204775896,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204875904,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
204881016,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
204975909,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205075917,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205081031,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
205175922,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205175970,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
205226381,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
205275931,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205281045,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
205375932,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205475946,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205481058,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
205575946,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205675959,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205676026,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
205676185,00000564,false,Rx,1,8,A9,0C,00,00,F8,17,37,00,
205676716,0000067E,false,Rx,1,8,F6,03,00,00,3B,00,00,F0,
205681076,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
205763412,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
205775960,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205875970,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
205881083,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
205975970,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206075977,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206081102,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
206175994,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206176042,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
206276002,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206281116,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
206298905,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
206376003,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206476010,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206481126,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
206576016,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206676024,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206676094,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
206676250,00000564,false,Rx,1,8,CD,0D,00,00,F8,17,37,00,
206676790,0000067E,false,Rx,1,8,E5,04,00,00,3B,00,00,F0,
206681142,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
206776027,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
206836164,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
