Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
32191304,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
32196366,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
32396354,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
32596360,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
32691305,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
32796366,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
32996372,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
33191310,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
33196377,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
33396385,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
33596394,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
33691326,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
33796404,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
33996410,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
34191363,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
34196408,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
34396420,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
34596419,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
34691358,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
34796427,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
34996443,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
35191394,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
35196440,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
35396450,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
35596451,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
35691389,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
35796457,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
35996467,1B000044,TRUE,Rx,0,8,44,0,1,0,4,0,0,0
36191423,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
36691415,17F00044,TRUE,Rx,0,8,20,44,0,0,0,0,0,80
