Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
81387300,1B000044,true,Rx,0,8,44,50,01,04,00,81,01,00,
81387948,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81388197,00000488,false,Rx,0,8,00,00,80,FF,0B,00,00,00,
81388499,12DD5472,true,Rx,0,8,00,00,00,00,00,00,F8,FD,
81388799,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81389109,17F00044,true,Rx,0,8,20,44,00,00,0F,0D,00,80,
81389395,1A555457,true,Rx,0,8,00,35,51,45,36,00,00,00,
81389674,1A555490,true,Rx,0,8,AA,AA,AA,AA,AA,AA,AA,AA,
81389984,1A555491,true,Rx,0,8,AA,AA,AA,AA,AA,AA,AA,AA,
81390275,1A555499,true,Rx,0,8,AA,AA,AA,00,00,00,00,00,
81390586,1A55549D,true,Rx,0,8,00,00,00,00,00,00,00,F4,
81390887,1A555515,true,Rx,0,8,00,00,00,00,00,00,00,00,
81391198,1A55554D,true,Rx,0,8,00,00,00,00,00,00,00,00,
81391507,1A55554F,true,Rx,0,8,00,00,00,00,00,00,00,00,
81395516,00000564,false,Rx,0,8,38,01,00,FE,FB,0F,28,00,
81395771,0000067E,false,Rx,0,8,43,11,00,00,9B,00,00,40,
81455501,0000053C,false,Rx,0,8,2A,61,00,00,C0,00,02,FE,
81455797,12DD5491,true,Rx,0,8,4A,01,00,FC,0F,00,00,00,
81485558,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81485854,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81490888,17331102,true,Rx,0,4,40,00,01,46,00,00,00,00,
81497558,17332510,true,Rx,0,8,09,42,03,00,25,00,04,05,
81497741,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
81555553,0000053C,false,Rx,0,8,7F,62,00,00,C0,00,02,FE,
81555848,12DD5491,true,Rx,0,8,AC,02,00,FC,0F,00,00,00,
81567568,17332510,true,Rx,0,8,49,4E,10,00,00,00,00,00,
81584942,1B000044,true,Rx,0,8,44,50,01,04,00,81,01,00,
81585579,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81585880,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81586180,1A555515,true,Rx,0,8,00,00,00,00,00,00,00,00,
81617475,17332510,true,Rx,0,4,49,50,0F,00,00,00,00,00,
81655503,0000053C,false,Rx,0,8,84,63,00,00,C0,00,02,FE,
81655790,12DD5491,true,Rx,0,8,D4,03,00,FC,0F,00,00,00,
81667549,17332510,true,Rx,0,8,80,09,49,51,00,FF,FF,FF,
81685495,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81685791,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81717552,17332510,true,Rx,0,8,90,07,49,52,00,00,00,00,
81755538,0000053C,false,Rx,0,8,C3,64,00,00,C0,00,02,FE,
81755835,12DD5491,true,Rx,0,8,66,04,00,FC,0F,00,00,00,
81767521,17332510,true,Rx,0,6,C0,00,00,01,00,00,00,00,
81784927,1B000044,true,Rx,0,8,44,50,01,04,00,81,01,00,
81785564,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81785864,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81786174,1A555515,true,Rx,0,8,00,00,00,00,00,00,00,00,
81817459,17332510,true,Rx,0,4,D0,FF,B0,00,00,00,00,00,
81855528,0000053C,false,Rx,0,8,54,65,00,00,C0,00,02,FE,
81855824,12DD5491,true,Rx,0,8,E6,05,00,FC,0F,00,00,00,
81867500,17332510,true,Rx,0,4,49,66,01,01,00,00,00,00,
81885528,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81885824,12DD5472,true,Rx,0,8,00,00,00,00,00,00,F8,FD,
81886134,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81886426,17F00044,true,Rx,0,8,20,44,00,00,0F,0D,00,80,
81886716,1A555490,true,Rx,0,8,AA,AA,AA,AA,AA,AA,AA,AA,
81886996,1A555491,true,Rx,0,8,AA,AA,AA,AA,AA,AA,AA,AA,
81887286,1A555499,true,Rx,0,8,AA,AA,AA,00,00,00,00,00,
81917553,17332510,true,Rx,0,8,81,A6,49,67,00,01,40,01,
81955480,0000053C,false,Rx,0,8,D2,66,00,00,C0,00,12,FE,
81955776,12DD5491,true,Rx,0,8,B6,06,00,FC,0F,00,00,00,
81967546,17332510,true,Rx,0,8,90,59,49,68,00,07,40,01,
81984859,1B000044,true,Rx,0,8,44,50,01,04,00,81,01,00,
81985497,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
81985807,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
81986108,1A555515,true,Rx,0,8,00,00,00,00,00,00,00,00,
82017537,17332510,true,Rx,0,8,49,69,FE,FE,FE,FE,FE,FE,
82055513,0000053C,false,Rx,0,8,EA,67,00,00,C0,00,12,FE,
82055808,12DD5491,true,Rx,0,8,86,07,00,FC,0F,00,00,00,
82067486,17332510,true,Rx,0,5,49,6D,00,FF,FF,00,00,00,
82085512,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
82085818,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
82097433,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
82117552,17332510,true,Rx,0,8,C0,0A,01,07,44,65,66,61,
82155507,0000053C,false,Rx,0,8,C6,68,00,00,C0,00,12,FE,
82155804,12DD5491,true,Rx,0,8,DE,08,00,FC,0F,00,00,00,
82167533,17332510,true,Rx,0,8,D0,07,01,12,01,01,0C,00,
82184898,1B000044,true,Rx,0,8,44,50,01,04,00,81,01,00,
82185536,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
82185837,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
82186147,1A555515,true,Rx,0,8,00,00,00,00,00,00,00,00,
82217482,17332510,true,Rx,0,5,49,6D,F0,FF,1F,00,00,00,
82255450,0000053C,false,Rx,0,8,A3,69,00,00,C0,00,12,FE,
82255747,12DD5491,true,Rx,0,8,0D,09,00,FC,0F,00,00,00,
82267548,17332510,true,Rx,0,8,C1,75,6C,74,00,00,02,64,
82285443,00000565,false,Rx,0,8,FE,00,00,00,0E,00,00,00,
82285750,12DD5492,true,Rx,0,8,00,00,00,00,00,FE,FE,FE,
82317533,17332510,true,Rx,0,8,D1,FF,00,10,FF,FF,00,02,
