Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4395033,00000097,false,Rx,0,8,2D,C4,7F,CF,05,03,00,00,
4395269,00000124,false,Rx,0,8,AA,09,98,4F,4A,15,00,5D,
4405028,00000097,false,Rx,0,8,B9,C5,7F,CF,05,03,00,00,
4415035,00000097,false,Rx,0,8,0F,C6,7F,CF,05,03,00,00,
4415270,00000124,false,Rx,0,8,D8,0A,98,4F,4A,15,00,5D,
4425030,00000097,false,Rx,0,8,85,C7,7F,CF,05,03,00,00,
4435038,00000097,false,Rx,0,8,67,C8,7F,CF,05,03,00,00,
4435274,00000124,false,Rx,0,8,F3,0B,98,4F,4A,15,00,5D,
4445033,00000097,false,Rx,0,8,5A,C9,7F,CF,05,03,00,00,
4455040,00000097,false,Rx,0,8,82,CA,7F,CF,05,03,00,00,
4455276,00000124,false,Rx,0,8,DD,0C,98,4F,4A,15,00,5D,
4465034,00000097,false,Rx,0,8,9D,CB,7F,CF,05,03,00,00,
4465279,00000187,false,Rx,0,8,5C,04,12,00,00,00,30,00,
4465528,000003A6,false,Rx,0,8,50,05,10,00,00,01,00,00,
4465757,000003AF,false,Rx,0,8,72,65,09,21,D8,B1,00,00,
4466005,00000489,false,Rx,0,8,F8,05,00,F4,25,CE,2F,00,
4475028,00000097,false,Rx,0,8,ED,CC,7F,CF,05,03,00,00,
4475274,00000124,false,Rx,0,8,6C,0D,98,4F,4A,15,00,5D,
4485033,00000097,false,Rx,0,8,34,CD,7F,CF,05,03,00,00,
4495030,00000097,false,Rx,0,8,A2,CE,7F,CF,05,03,00,00,
4495265,00000124,false,Rx,0,8,AC,0E,98,4F,4A,15,00,5D,
4505034,00000097,false,Rx,0,8,E0,CF,7F,CF,05,03,00,00,
4515030,00000097,false,Rx,0,8,68,C0,7F,CF,05,03,00,00,
4515277,00000124,false,Rx,0,8,41,0F,98,4F,4A,15,00,5D,
4525035,00000097,false,Rx,0,8,CE,C1,7F,CF,05,03,00,00,
4535031,00000097,false,Rx,0,8,09,C2,7F,CF,05,03,00,00,
4535267,00000124,false,Rx,0,8,CE,00,98,4F,4A,15,00,5D,
4545035,00000097,false,Rx,0,8,13,C3,7F,CF,05,03,00,00,
4555032,00000097,false,Rx,0,8,2D,C4,7F,CF,05,03,00,00,
4555268,00000124,false,Rx,0,8,D4,01,98,4F,4A,15,00,5D,
4565035,00000097,false,Rx,0,8,B9,C5,7F,CF,05,03,00,00,
4565281,00000187,false,Rx,0,8,B8,05,12,00,00,00,30,00,
