Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1402277,564,FALSE,Rx,1,8,CD,8,0,5B,F9,27,37,0
1507114,564,FALSE,Rx,1,8,A9,9,0,5B,F9,27,37,0
1612282,564,FALSE,Rx,1,8,5,0A,0,5B,F9,27,37,0
1717125,564,FALSE,Rx,1,8,61,0B,0,5B,F9,27,37,0
1822282,564,FALSE,Rx,1,8,72,0C,0,5B,F9,27,37,0
1927132,564,FALSE,Rx,1,8,16,0D,0,5B,F9,27,37,0
2867386,564,FALSE,Rx,1,8,BA,0E,0,5B,F9,27,37,0
3867414,564,FALSE,Rx,1,8,DE,0F,0,5B,F9,27,37,0
4867434,564,FALSE,Rx,1,8,9C,0,0,5B,F9,27,37,0
7275884,564,FALSE,Rx,1,8,CD,8,0,5B,F9,27,37,0
7380728,564,FALSE,Rx,1,8,A9,9,0,5B,F9,27,37,0
7485906,564,FALSE,Rx,1,8,5,0A,0,5B,F9,27,37,0
7590740,564,FALSE,Rx,1,8,61,0B,0,5B,F9,27,37,0
7695904,564,FALSE,Rx,1,8,72,0C,0,5B,F9,27,37,0
7800748,564,FALSE,Rx,1,8,16,0D,0,5B,F9,27,37,0
8740991,564,FALSE,Rx,1,8,BA,0E,0,5B,F9,27,37,0
9741022,564,FALSE,Rx,1,8,DE,0F,0,5B,F9,27,37,0
10741046,564,FALSE,Rx,1,8,9C,0,0,5B,F9,27,37,0
