Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1666949215166537,0000038B,false,Rx,0,8,FE,01,FE,BC,F2,CA,AB,7F,
-1666949215166239,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949215166025,00000565,false,Rx,0,8,00,00,00,00,0C,08,80,FF,
-1666949215165769,0000067E,false,Rx,0,8,1D,01,FE,01,3B,00,00,38,
-1666949215165513,1A555457,true,Rx,0,8,00,35,51,45,36,00,00,00,
-1666949215165215,1A555490,true,Rx,0,8,AA,AA,08,AA,A2,2A,AA,02,
-1666949215164959,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949215081333,00000566,false,Rx,0,8,1A,01,FE,01,FA,07,00,00,
-1666949215076512,0000038B,false,Rx,0,8,FE,01,FE,BC,F2,CA,AB,7F,
-1666949214981324,00000566,false,Rx,0,8,9E,02,FE,01,FA,07,00,00,
-1666949214976503,0000038B,false,Rx,0,8,FE,01,FE,BC,F2,CA,AB,7F,
-1666949214881272,00000566,false,Rx,0,8,58,03,FE,01,FA,07,00,00,
-1666949214876451,0000038B,false,Rx,0,8,FE,01,FE,BC,F2,CA,AB,7F,
-1666949214781263,00000566,false,Rx,0,8,D5,04,FE,01,FA,07,00,00,
-1666949214776442,0000038B,false,Rx,0,8,FE,01,FE,BC,F2,CA,AB,7F,
-1666949214726395,00000564,false,Rx,0,8,0A,01,00,00,FC,0F,32,FF,
-1666949214681211,00000566,false,Rx,0,8,2B,05,FE,01,FA,07,00,00,
-1666949214676390,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214676091,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949214675878,00000565,false,Rx,0,8,00,00,00,00,0C,08,80,FF,
-1666949214675580,1A555490,true,Rx,0,8,AA,AA,08,A8,A2,2A,AA,02,
-1666949214675324,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949214581202,00000566,false,Rx,0,8,D0,06,FE,01,FA,07,00,00,
-1666949214576381,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214481151,00000566,false,Rx,0,8,86,17,FE,01,FA,07,00,00,
-1666949214476329,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214381141,00000566,false,Rx,0,8,53,18,FE,01,FA,07,00,00,
-1666949214376320,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214281190,00000566,false,Rx,0,8,AB,19,FE,01,FA,07,00,00,
-1666949214276368,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214181181,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949214180925,00000566,false,Rx,0,8,E4,1A,FE,01,FA,07,00,00,
-1666949214176359,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949214176061,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949214175805,0000067E,false,Rx,0,8,FA,02,00,00,3B,00,00,40,
-1666949214175549,1A555457,true,Rx,0,8,01,38,32,41,4B,00,00,00,
-1666949214175250,1A555490,true,Rx,0,8,AA,AA,08,94,A2,2A,AA,02,
-1666949214174994,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949214126312,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949214081129,00000566,false,Rx,0,8,69,1B,FE,01,FA,07,00,00,
-1666949214076308,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213981120,00000566,false,Rx,0,8,A8,1C,FE,01,FA,07,00,00,
-1666949213976298,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213881068,00000566,false,Rx,0,8,0F,1D,FE,01,FA,07,00,00,
-1666949213876247,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213781059,00000566,false,Rx,0,8,91,1E,FE,01,FA,07,00,00,
-1666949213776238,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213726190,00000564,false,Rx,0,8,76,02,00,00,FC,1F,2F,FF,
-1666949213681007,00000566,false,Rx,0,8,6C,1F,FE,01,FA,07,00,00,
-1666949213676186,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213675887,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949213675674,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949213675375,1A555490,true,Rx,0,8,AA,AA,08,94,A2,2A,AA,02,
-1666949213675119,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949213580998,00000566,false,Rx,0,8,E6,10,FE,01,FA,07,00,00,
-1666949213576177,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213480946,00000566,false,Rx,0,8,B8,11,FE,01,FA,07,00,00,
-1666949213476125,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213380937,00000566,false,Rx,0,8,3C,12,FE,01,FA,07,00,00,
-1666949213376116,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213280910,00000566,false,Rx,0,8,FA,13,FE,01,FA,07,00,00,
-1666949213276089,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213180901,00000566,false,Rx,0,8,77,14,FE,01,FA,07,00,00,
-1666949213176080,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949213175781,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949213175525,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949213175312,0000067E,false,Rx,0,8,9E,03,00,00,3B,00,00,40,
-1666949213175013,1A555457,true,Rx,0,8,02,30,33,30,30,00,00,00,
-1666949213174757,1A555490,true,Rx,0,8,AA,AA,08,94,A2,2A,AA,02,
-1666949213174459,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949213080849,00000566,false,Rx,0,8,89,15,FE,01,FA,07,00,00,
-1666949213076028,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212980840,00000566,false,Rx,0,8,72,16,FE,01,FA,07,00,00,
-1666949212976019,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212880789,00000566,false,Rx,0,8,86,17,FE,01,FA,07,00,00,
-1666949212875967,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212780779,00000566,false,Rx,0,8,53,18,FE,01,FA,07,00,00,
-1666949212775958,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212725911,00000564,false,Rx,0,8,12,03,00,00,FC,1F,2F,FF,
-1666949212680728,00000566,false,Rx,0,8,AB,19,FE,01,FA,07,00,00,
-1666949212675906,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212675608,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949212675394,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949212675096,1A555490,true,Rx,0,8,AA,0A,08,94,A2,2A,A2,02,
-1666949212674840,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949212580719,00000566,false,Rx,0,8,E4,1A,FE,01,FA,07,00,00,
-1666949212575897,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212480667,00000566,false,Rx,0,8,69,1B,FE,01,FA,07,00,00,
-1666949212475846,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212380658,00000566,false,Rx,0,8,A8,1C,FE,01,FA,07,00,00,
-1666949212375836,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212280576,00000566,false,Rx,0,8,0F,1D,FE,01,FA,07,00,00,
-1666949212275755,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212180567,00000566,false,Rx,0,8,91,1E,FE,01,FA,07,00,00,
-1666949212175746,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949212175447,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949212175191,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949212174935,0000067E,false,Rx,0,8,8D,04,00,00,3B,00,00,40,
-1666949212174679,1A555457,true,Rx,0,8,03,4B,59,46,41,00,00,00,
-1666949212174423,1A555490,true,Rx,0,8,AA,0A,08,94,A2,2A,A2,02,
-1666949212174124,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949212080515,00000566,false,Rx,0,8,6C,1F,FE,01,FA,07,00,00,
-1666949212075694,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211980506,00000566,false,Rx,0,8,E6,10,FE,01,FA,07,00,00,
-1666949211975685,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211880454,00000566,false,Rx,0,8,B8,11,FE,01,FA,07,00,00,
-1666949211875633,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211780445,00000566,false,Rx,0,8,3C,12,FE,01,FA,07,00,00,
-1666949211775624,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211725577,00000564,false,Rx,0,8,01,04,00,00,FC,1F,2F,FF,
-1666949211680393,00000566,false,Rx,0,8,FA,13,FE,01,FA,07,00,00,
-1666949211675572,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211675273,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949211675060,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949211674761,1A555490,true,Rx,0,8,AA,0A,08,94,A2,2A,A2,02,
-1666949211674505,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949211580384,00000566,false,Rx,0,8,77,14,FE,01,FA,07,00,00,
-1666949211575563,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211480332,00000566,false,Rx,0,8,89,15,FE,01,FA,07,00,00,
-1666949211475511,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211380323,00000566,false,Rx,0,8,72,16,FE,01,FA,07,00,00,
-1666949211375502,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211280249,00000566,false,Rx,0,8,86,17,FE,01,FA,07,00,00,
-1666949211275427,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211180239,00000566,false,Rx,0,8,53,18,FE,01,FA,07,00,00,
-1666949211175418,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949211175120,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949211174864,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949211174650,0000067E,false,Rx,0,8,E9,05,00,00,3B,00,00,40,
-1666949211174352,1A555457,true,Rx,0,8,00,35,51,45,36,00,00,00,
-1666949211174096,1A555490,true,Rx,0,8,AA,0A,08,94,A2,2A,62,02,
-1666949211173797,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
-1666949211080188,00000566,false,Rx,0,8,AB,19,FE,01,FA,07,00,00,
-1666949211075366,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949210980179,00000566,false,Rx,0,8,E4,1A,FE,01,FA,07,00,00,
-1666949210975357,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949210880127,00000566,false,Rx,0,8,69,1B,FE,01,FA,07,00,00,
-1666949210875306,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949210780118,00000566,false,Rx,0,8,A8,1C,FE,01,FA,07,00,00,
-1666949210775296,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949210725249,00000564,false,Rx,0,8,65,05,00,00,FC,1F,2F,FF,
-1666949210680066,00000566,false,Rx,0,8,0F,1D,FE,01,FA,07,00,00,
-1666949210675245,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
-1666949210674946,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666949210674733,00000565,false,Rx,0,8,00,50,00,00,0C,08,80,FF,
-1666949210674434,1A555490,true,Rx,0,8,AA,0A,00,94,22,2A,60,00,
-1666949210674178,1A555491,true,Rx,0,8,AA,AA,AA,01,00,00,00,80,
