Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2258032,564,FALSE,Rx,1,8,23,1,0,0,F8,17,37,0
2362874,564,FALSE,Rx,1,8,8F,2,0,0,F8,17,37,0
2468035,564,FALSE,Rx,1,8,EB,3,0,0,F8,17,37,0
2573103,564,FALSE,Rx,1,8,F8,4,0,0,F8,17,37,0
2678068,564,FALSE,Rx,1,8,9C,5,0,0,F8,17,37,0
3673149,564,FALSE,Rx,1,8,30,6,0,0,F8,17,37,0
4673184,564,FALSE,Rx,1,8,54,7,0,0,F8,17,37,0
5673220,564,FALSE,Rx,1,8,EC,8,0,1E,F8,17,37,0
8061559,564,FALSE,Rx,1,8,B6,8,0,CF,F8,27,37,0
8166395,564,FALSE,Rx,1,8,D2,9,0,CF,F8,27,37,0
8271565,564,FALSE,Rx,1,8,84,0A,0,D1,F8,27,37,0
8376407,564,FALSE,Rx,1,8,E0,0B,0,D1,F8,27,37,0
8481568,564,FALSE,Rx,1,8,8C,0C,0,D5,F8,27,37,0
8586417,564,FALSE,Rx,1,8,95,0D,0,DA,F8,27,37,0
9526671,564,FALSE,Rx,1,8,48,0E,0,EF,F8,27,37,0
10526717,564,FALSE,Rx,1,8,28,0F,0,F9,F8,27,37,0
11526757,564,FALSE,Rx,1,8,0D,0,0,0F,F9,27,37,0
13955081,564,FALSE,Rx,1,8,9B,8,0,51,F9,27,37,0
14059917,564,FALSE,Rx,1,8,7C,9,0,56,F9,27,37,0
14165093,564,FALSE,Rx,1,8,51,0A,0,5A,F9,27,37,0
14269924,564,FALSE,Rx,1,8,35,0B,0,5A,F9,27,37,0
14375096,564,FALSE,Rx,1,8,0D,0C,0,5F,F9,27,37,0
14479934,564,FALSE,Rx,1,8,65,0D,0,65,F9,27,37,0
15420186,564,FALSE,Rx,1,8,E6,0E,0,76,F9,27,37,0
16420233,564,FALSE,Rx,1,8,E0,0F,0,82,F9,27,37,0
17420277,564,FALSE,Rx,1,8,3E,0,0,7E,F9,27,37,0
19848579,564,FALSE,Rx,1,8,9F,8,0,47,F9,27,37,0
19953417,564,FALSE,Rx,1,8,2C,9,0,41,F9,27,37,0
20058577,564,FALSE,Rx,1,8,9A,0A,0,3E,F9,27,37,0
20163427,564,FALSE,Rx,1,8,FE,0B,0,3E,F9,27,37,0
20268578,564,FALSE,Rx,1,8,6E,0C,0,39,F9,27,37,0
20373427,564,FALSE,Rx,1,8,DF,0D,0,34,F9,27,37,0
21313685,564,FALSE,Rx,1,8,AC,0E,0,1E,F9,27,37,0
22313716,564,FALSE,Rx,1,8,1,0F,0,F7,F8,27,37,0
23313757,564,FALSE,Rx,1,8,EF,0,0,E3,F8,27,37,0
25792082,564,FALSE,Rx,1,8,BA,1,0,99,F8,27,37,0
25896929,564,FALSE,Rx,1,8,16,2,0,99,F8,27,37,0
26002101,564,FALSE,Rx,1,8,8C,3,0,91,F8,27,37,0
26107159,564,FALSE,Rx,1,8,99,4,0,8C,F8,27,37,0
26212114,564,FALSE,Rx,1,8,FD,5,0,8C,F8,27,37,0
27207190,564,FALSE,Rx,1,8,31,6,0,73,F8,27,37,0
28207226,564,FALSE,Rx,1,8,DE,7,0,58,F8,27,37,0
29207262,564,FALSE,Rx,1,8,64,8,0,4D,F8,27,37,0
31635621,564,FALSE,Rx,1,8,16,8,0,0,F8,17,37,0
31740466,564,FALSE,Rx,1,8,72,9,0,0,F8,17,37,0
31845635,564,FALSE,Rx,1,8,DE,0A,0,0,F8,17,37,0
31950471,564,FALSE,Rx,1,8,BA,0B,0,0,F8,17,37,0
32055626,564,FALSE,Rx,1,8,A9,0C,0,0,F8,17,37,0
32160477,564,FALSE,Rx,1,8,CD,0D,0,0,F8,17,37,0
