Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
66396,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
594543,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
1125472,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
1653954,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
2048011,00000564,false,Rx,1,8,4B,7F,FF,FE,FB,1F,FE,FE,
2072848,0000038B,false,Rx,1,8,00,00,FE,00,00,00,00,00,
2078051,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2152868,00000564,false,Rx,1,8,09,70,FF,FE,FB,1F,FE,FE,
2172851,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2172908,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
2182411,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
2258032,00000564,false,Rx,1,8,23,01,00,00,F8,17,37,00,
2272862,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2278056,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2362874,00000564,false,Rx,1,8,8F,02,00,00,F8,17,37,00,
2372862,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2468035,00000564,false,Rx,1,8,EB,03,00,00,F8,17,37,00,
2472872,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2478065,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2572870,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2573103,00000564,false,Rx,1,8,F8,04,00,00,F8,17,37,00,
2672872,0000038B,false,Rx,1,8,00,00,00,00,00,00,00,00,
2672920,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
2673107,0000067E,false,Rx,1,8,6E,02,00,00,3B,00,00,00,
2678068,00000564,false,Rx,1,8,9C,05,00,00,F8,17,37,00,
2678110,1B000044,true,Rx,0,8,44,00,01,01,04,00,00,00,
2708902,00000570,false,Tx,0,2,FF,00,00,00,00,00,00,00,
