Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3151388,00000566,false,Rx,0,8,A4,09,FE,01,FB,07,00,00,
3236234,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3241465,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
3251420,00000566,false,Rx,0,8,EB,0A,FE,01,FB,07,00,00,
3336270,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3351449,00000566,false,Rx,0,8,66,0B,FE,01,FB,07,00,00,
3436306,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3441556,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
3451490,00000566,false,Rx,0,8,A7,0C,FE,01,FB,07,00,00,
3536337,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3551526,00000566,false,Rx,0,8,00,0D,FE,01,FB,07,00,00,
3636374,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3636669,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
3636909,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
3637149,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
3637449,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
3637687,0000067E,false,Rx,0,8,A5,04,16,00,3B,00,00,00,
3637958,1A555457,true,Rx,0,8,83,4B,59,46,41,2B,00,00,
3638238,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
3638527,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
3641595,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
3651556,00000566,false,Rx,0,8,9E,0E,FE,01,FB,07,00,00,
3736404,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3751605,00000566,false,Rx,0,8,63,0F,FE,01,FB,07,00,00,
3836440,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3841690,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
3851645,00000566,false,Rx,0,8,E9,00,FE,01,FB,07,00,00,
3936483,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
3951661,00000566,false,Rx,0,8,B7,01,FE,01,FB,07,00,00,
3952876,17332510,true,Rx,0,3,39,5C,22,00,00,00,00,00,
4036513,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4041743,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
4051698,00000566,false,Rx,0,8,33,02,FE,01,FB,07,00,00,
4086534,00000564,false,Rx,0,8,0C,04,71,6E,F9,27,24,00,
4136554,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4136841,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
4137091,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
4137339,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
4137629,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
4137910,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
4138200,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
4151751,00000566,false,Rx,0,8,F5,03,FE,01,FB,07,00,00,
4236585,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4241837,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
4251793,00000566,false,Rx,0,8,78,04,FE,01,FB,07,00,00,
4336622,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4351802,00000566,false,Rx,0,8,86,05,FE,01,FB,07,00,00,
4436658,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4441880,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
4451847,00000566,false,Rx,0,8,7D,06,FE,01,FB,07,00,00,
4536694,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4551885,00000566,false,Rx,0,8,89,07,FE,01,FB,07,00,00,
4636719,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4637018,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
4637256,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
4637505,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
4637797,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
4638035,0000067E,false,Rx,0,8,C1,05,16,00,3B,00,00,00,
4638314,1A555457,true,Rx,0,8,80,35,51,45,36,CD,00,00,
4638594,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
4638885,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
4641974,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
4651915,00000566,false,Rx,0,8,5C,08,FE,01,FB,07,00,00,
4736763,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4751942,00000566,false,Rx,0,8,A4,09,FE,01,FB,07,00,00,
4836789,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4842019,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
4851976,00000566,false,Rx,0,8,EB,0A,FE,01,FB,07,00,00,
4936825,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
4952015,00000566,false,Rx,0,8,66,0B,FE,01,FB,07,00,00,
4953342,17332510,true,Rx,0,8,80,07,39,5D,FF,FF,FF,00,
5003296,17332510,true,Rx,0,4,C0,00,00,00,00,00,00,00,
5036866,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5042117,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
5052066,00000566,false,Rx,0,8,A7,0C,FE,01,FB,07,00,00,
5086881,00000564,false,Rx,0,8,68,05,71,6E,F9,27,24,00,
5136901,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5137187,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
5137435,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
5137674,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
5137976,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
5138255,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
5138546,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
5152086,00000566,false,Rx,0,8,00,0D,FE,01,FB,07,00,00,
5236937,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5242159,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
5252115,00000566,false,Rx,0,8,9E,0E,FE,01,FB,07,00,00,
5336974,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5352165,00000566,false,Rx,0,8,63,0F,FE,01,FB,07,00,00,
5437000,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5442250,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
5452206,00000566,false,Rx,0,8,E9,00,FE,01,FB,07,00,00,
5537042,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5552220,00000566,false,Rx,0,8,B7,01,FE,01,FB,07,00,00,
5637078,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5637364,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
5637603,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
5637853,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
5638143,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
5638392,0000067E,false,Rx,0,8,90,06,16,00,3B,00,00,02,
5638661,1A555457,true,Rx,0,8,81,38,32,41,4B,D9,00,00,
5638942,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
5639233,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
5642302,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
5652264,00000566,false,Rx,0,8,33,02,FE,01,FB,07,00,00,
5737109,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5752299,00000566,false,Rx,0,8,F5,03,FE,01,FB,07,00,00,
5837145,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5842385,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
5852342,00000566,false,Rx,0,8,78,04,FE,01,FB,07,00,00,
5937182,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
5952361,00000566,false,Rx,0,8,86,05,FE,01,FB,07,00,00,
5953575,17332510,true,Rx,0,3,39,5E,03,00,00,00,00,00,
6037213,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6042433,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
6052399,00000566,false,Rx,0,8,7D,06,FE,01,FB,07,00,00,
6087238,00000564,false,Rx,0,8,47,86,71,6E,F9,27,24,00,
6137254,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6137541,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
6137781,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
6138029,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
6138320,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
6138609,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
6138890,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
6152439,00000566,false,Rx,0,8,89,07,FE,01,FB,07,00,00,
6237285,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6242526,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
6252481,00000566,false,Rx,0,8,5C,08,FE,01,FB,07,00,00,
6337322,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6352500,00000566,false,Rx,0,8,A4,09,FE,01,FB,07,00,00,
6437358,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6442578,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
6452533,00000566,false,Rx,0,8,EB,0A,FE,01,FB,07,00,00,
6537394,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6552574,00000566,false,Rx,0,8,66,0B,FE,01,FB,07,00,00,
6637429,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6637716,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
6637955,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
6638204,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
6638495,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
6638743,0000067E,false,Rx,0,8,F4,07,16,00,3B,00,00,02,
6639013,1A555457,true,Rx,0,8,82,30,33,30,30,02,00,00,
6639304,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
6639593,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
6642671,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
6652622,00000566,false,Rx,0,8,A7,0C,FE,01,FB,07,00,00,
6737461,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6752650,00000566,false,Rx,0,8,00,0D,FE,01,FB,07,00,00,
6837498,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6842717,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
6852672,00000566,false,Rx,0,8,9E,0E,FE,01,FB,07,00,00,
6937528,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
6952719,00000566,false,Rx,0,8,63,0F,FE,01,FB,07,00,00,
6954036,17332510,true,Rx,0,8,39,42,03,00,25,00,04,04,
7037564,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
7042807,1B000044,true,Rx,0,8,44,00,44,01,00,00,00,00,
7052762,00000566,false,Rx,0,8,E9,00,FE,01,FB,07,00,00,
7087589,00000564,false,Rx,0,8,23,87,71,6E,F9,27,24,00,
7137596,0000038B,false,Rx,0,8,FE,01,00,BC,F2,CA,AB,7F,
7137894,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
7118465,00000097,false,Tx,0,8,43,CE,7F,CE,05,02,00,00,
7138132,00000565,false,Rx,0,8,00,50,00,15,0C,08,80,FF,
7138382,00000594,false,Rx,0,8,00,00,00,00,00,10,30,09,
7138671,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
7138952,1A555490,true,Rx,0,8,0A,00,00,14,02,00,20,00,
7139242,1A555491,true,Rx,0,8,00,59,A8,00,00,00,00,80,
7118627,00000097,false,Tx,0,8,01,CF,7F,CE,05,02,00,00,
7118722,00000124,false,Tx,0,8,D4,E8,57,4F,4A,31,21,01,
7118843,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
7118975,00000097,false,Tx,0,8,89,C0,7F,CE,05,02,00,00,
7128823,00000097,false,Tx,0,8,2F,C1,7F,CE,05,02,00,00,
7128928,00000124,false,Tx,0,8,26,E9,57,4F,4A,31,21,01,
7128997,00000097,false,Tx,0,8,E8,C2,7F,CE,05,02,00,00,
7152786,00000566,false,Rx,0,8,B7,01,FE,01,FB,07,00,00,
7133542,000003A6,false,Tx,0,8,3D,0C,00,00,00,01,00,00,
7137457,00000097,false,Tx,0,8,F2,C3,7F,CE,05,02,00,00,
7138558,00000124,false,Tx,0,8,54,EA,57,4F,4A,31,21,01,
7164026,17332510,true,Rx,0,4,49,50,1F,21,00,00,00,00,
7146517,00000097,false,Tx,0,8,CC,C4,7F,CE,05,02,00,00,
7156483,00000097,false,Tx,0,8,4B,C5,7F,CE,05,FE,01,00,
7157488,00000124,false,Tx,0,8,7F,EB,57,4F,4A,31,21,01,
7162497,000003AF,false,Tx,0,8,56,D6,F7,1F,E0,01,00,00,
7162661,000006A4,false,Tx,0,8,E9,08,45,3D,40,03,00,00,
7167506,00000097,false,Tx,0,8,EE,C6,7F,CE,05,02,00,00,
7192799,00000565,false,Rx,0,8,00,20,00,15,0C,08,80,FF,
