Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
61806565,0000038B,false,Rx,1,8,FE,01,FE,BC,F2,CA,AB,7F,
61806862,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
61807103,00000565,false,Rx,1,8,00,20,00,00,0C,08,80,FF,
61807343,0000067E,false,Rx,1,8,1D,01,FE,01,3B,00,00,38,
61807623,1A555457,true,Rx,1,8,00,35,51,45,36,00,00,00,
61807884,1A555490,true,Rx,1,8,AA,AA,08,9A,A2,2A,AA,02,
61808177,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
61891770,00000566,false,Rx,1,8,B7,01,FE,01,FB,07,00,00,
61896603,0000038B,false,Rx,1,8,FE,01,FE,BC,F2,CA,AB,7F,
61991800,00000566,false,Rx,1,8,33,02,FE,01,FB,07,00,00,
61996612,0000038B,false,Rx,1,8,FE,01,FE,BC,F2,CA,AB,7F,
62091807,00000566,false,Rx,1,8,F5,03,FE,01,FB,07,00,00,
62096629,0000038B,false,Rx,1,8,FE,01,FE,BC,F2,CA,AB,7F,
62191837,00000566,false,Rx,1,8,78,04,FE,01,FB,07,00,00,
62196647,0000038B,false,Rx,1,8,FE,01,FE,BC,F2,CA,AB,7F,
62246666,00000564,false,Rx,1,8,C5,01,00,71,F9,07,36,00,
62291850,00000566,false,Rx,1,8,86,05,FE,01,FB,07,00,00,
62296670,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62296959,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
62297209,00000565,false,Rx,1,8,00,20,00,00,0C,08,80,FF,
62297469,1A555490,true,Rx,1,8,AA,AA,08,98,A2,2A,AA,02,
62297761,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
62351875,00000565,false,Rx,1,8,00,00,00,00,0C,08,80,FF,
62391870,00000566,false,Rx,1,8,D0,06,FE,01,FA,07,00,00,
62396691,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62491906,00000566,false,Rx,1,8,24,07,FE,01,FA,07,00,00,
62496718,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62591923,00000566,false,Rx,1,8,F1,08,FE,01,FA,07,00,00,
62596732,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62691939,00000566,false,Rx,1,8,09,09,FE,01,FA,07,00,00,
62696759,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62791954,00000566,false,Rx,1,8,46,0A,FE,01,FA,07,00,00,
62796784,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62797074,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
62797313,00000565,false,Rx,1,8,00,00,00,00,0C,08,80,FF,
62797563,0000067E,false,Rx,1,8,FA,02,00,00,3B,00,00,40,
62797844,1A555457,true,Rx,1,8,01,38,32,41,4B,00,00,00,
62798106,1A555490,true,Rx,1,8,AA,AA,08,90,A2,2A,AA,02,
62798396,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
62891986,00000566,false,Rx,1,8,A0,2B,FE,01,FA,07,00,00,
62896806,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
62931986,00000565,false,Rx,1,8,00,00,00,15,0C,08,80,FF,
62986831,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
62992018,00000566,false,Rx,1,8,61,2C,FE,01,FA,07,00,00,
62996827,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
63092026,00000566,false,Rx,1,8,C6,2D,FE,01,FA,07,00,00,
63096845,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
63192045,00000566,false,Rx,1,8,58,2E,FE,01,FA,07,00,00,
63196866,0000038B,false,Rx,1,8,FE,01,08,BC,F2,CA,AB,7F,
63246885,00000564,false,Rx,1,8,72,82,41,71,F9,27,34,08,
63292071,00000566,false,Rx,1,8,A5,2F,FE,01,FA,07,00,00,
63296893,0000038B,false,Rx,1,8,FE,01,08,BC,F2,CA,AB,7F,
63297181,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
63297421,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
63297692,1A555490,true,Rx,1,8,AA,AA,08,90,A2,2A,AA,02,
63297975,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
63392101,00000566,false,Rx,1,8,82,20,FE,01,FB,07,00,00,
63396912,0000038B,false,Rx,1,8,FE,01,05,BC,F2,CA,AB,7F,
63492112,00000566,false,Rx,1,8,DC,21,FE,01,FB,07,00,00,
63496933,0000038B,false,Rx,1,8,FE,01,03,BC,F2,CA,AB,7F,
63592134,00000566,false,Rx,1,8,58,22,FE,01,FB,07,00,00,
63596955,0000038B,false,Rx,1,8,FE,01,03,BC,F2,CA,AB,7F,
63692163,00000566,false,Rx,1,8,9E,23,FE,01,FB,07,00,00,
63696976,0000038B,false,Rx,1,8,FE,01,02,BC,F2,CA,AB,7F,
63792191,00000566,false,Rx,1,8,13,24,FE,01,FB,07,00,00,
63797003,0000038B,false,Rx,1,8,FE,01,01,BC,F2,CA,AB,7F,
63797300,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
63797529,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
63797769,0000067E,false,Rx,1,8,4B,03,16,00,3B,00,00,02,
63798051,1A555457,true,Rx,1,8,02,30,33,30,30,00,00,00,
63798321,1A555490,true,Rx,1,8,AA,AA,08,90,A2,2A,AA,02,
63798613,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
63892194,00000566,false,Rx,1,8,ED,25,FE,01,FB,07,00,00,
63897026,0000038B,false,Rx,1,8,FE,01,01,BC,F2,CA,AB,7F,
63992230,00000566,false,Rx,1,8,16,26,FE,01,FB,07,00,00,
63997051,0000038B,false,Rx,1,8,FE,01,01,BC,F2,CA,AB,7F,
64092247,00000566,false,Rx,1,8,E2,27,FE,01,FB,07,00,00,
64097069,0000038B,false,Rx,1,8,FE,01,01,BC,F2,CA,AB,7F,
64192278,00000566,false,Rx,1,8,37,28,FE,01,FB,07,00,00,
64197090,0000038B,false,Rx,1,8,FE,01,01,BC,F2,CA,AB,7F,
64247103,00000564,false,Rx,1,8,E1,83,72,71,F9,27,34,00,
64292290,00000566,false,Rx,1,8,CF,29,FE,01,FB,07,00,00,
64297111,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64297398,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
64297638,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
64297908,1A555490,true,Rx,1,8,AA,0A,08,90,82,2A,A2,02,
64298200,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
64392309,00000566,false,Rx,1,8,80,2A,FE,01,FB,07,00,00,
64397130,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64492335,00000566,false,Rx,1,8,0D,2B,FE,01,FB,07,00,00,
64497156,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64592366,00000566,false,Rx,1,8,CC,2C,FE,01,FB,07,00,00,
64597178,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64692381,00000566,false,Rx,1,8,6B,2D,FE,01,FB,07,00,00,
64697201,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64792400,00000566,false,Rx,1,8,F5,2E,FE,01,FB,07,00,00,
64797221,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64797508,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
64797748,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
64797989,0000067E,false,Rx,1,8,70,04,16,00,3B,00,00,04,
64798269,1A555457,true,Rx,1,8,03,4B,59,46,41,00,00,00,
64798541,1A555490,true,Rx,1,8,AA,0A,08,90,82,2A,A2,02,
64798821,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
64892424,00000566,false,Rx,1,8,08,2F,FE,01,FB,07,00,00,
64897245,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
64964554,00000097,false,Tx,1,8,43,CE,7F,CE,05,02,00,00,
64965002,00000124,false,Tx,1,8,D4,E8,57,4F,4A,31,21,01,
64965162,00000097,false,Tx,1,8,01,CF,7F,CE,05,02,00,00,
64966478,00000097,false,Tx,1,8,89,C0,7F,CE,05,02,00,00,
64967780,00000097,false,Tx,1,8,2F,C1,7F,CE,05,02,00,00,
64967916,00000124,false,Tx,1,8,26,E9,57,4F,4A,31,21,01,
64975951,00000097,false,Tx,1,8,E8,C2,7F,CE,05,02,00,00,
64981845,000003A6,false,Tx,1,8,3D,0C,00,00,00,01,00,00,
64985422,00000097,false,Tx,1,8,F2,C3,7F,CE,05,02,00,00,
64986749,00000124,false,Tx,1,8,54,EA,57,4F,4A,31,21,01,
64992456,00000566,false,Rx,1,8,82,20,FE,01,FB,07,00,00,
64994833,00000097,false,Tx,1,8,CC,C4,7F,CE,05,02,00,00,
64997267,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
65005452,00000097,false,Tx,1,8,4B,C5,7F,CE,05,FE,01,00,
65005690,00000124,false,Tx,1,8,7F,EB,57,4F,4A,31,21,01,
65010550,000003AF,false,Tx,1,8,56,D6,F7,1F,E0,01,00,00,
65011948,000006A4,false,Tx,1,8,E9,08,45,3D,40,03,00,00,
65015542,00000097,false,Tx,1,8,EE,C6,7F,CE,05,02,00,00,
65024811,00000097,false,Tx,1,8,64,C7,7F,CE,05,02,00,00,
65026123,00000124,false,Tx,1,8,51,EC,57,4F,4A,31,21,01,
65035357,00000097,false,Tx,1,8,86,C8,7F,CE,05,02,00,00,
65045909,00000097,false,Tx,1,8,BB,C9,7F,CE,05,02,00,00,
65047195,00000124,false,Tx,1,8,E0,ED,57,4F,4A,31,21,01,
65054237,00000097,false,Tx,1,8,63,CA,7F,CE,05,02,00,00,
65065849,00000097,false,Tx,1,8,7C,CB,7F,CE,05,02,00,00,
65067222,00000124,false,Tx,1,8,20,EE,57,4F,4A,31,21,01,
65075534,00000097,false,Tx,1,8,0C,CC,7F,CE,05,02,00,00,
65081488,000003A6,false,Tx,1,8,CA,0D,00,00,00,01,00,00,
65084096,00000097,false,Tx,1,8,D5,CD,7F,CE,05,02,00,00,
65085533,00000124,false,Tx,1,8,CD,EF,57,4F,4A,31,21,01,
65092466,00000566,false,Rx,1,8,DC,21,FE,01,FB,07,00,00,
65095086,00000097,false,Tx,1,8,43,CE,7F,CE,05,02,00,00,
65097288,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
65105725,00000097,false,Tx,1,8,01,CF,7F,CE,05,02,00,00,
65107173,00000124,false,Tx,1,8,42,E0,57,4F,4A,31,21,01,
65110796,000003AF,false,Tx,1,8,3A,D7,F7,1F,E0,01,00,00,
65114447,00000097,false,Tx,1,8,89,C0,7F,CE,05,02,00,00,
65124442,00000097,false,Tx,1,8,3C,C1,7F,CE,05,FE,01,00,
65125653,00000124,false,Tx,1,8,58,E1,57,4F,4A,31,21,01,
65135634,00000097,false,Tx,1,8,71,C2,7F,CE,05,FA,01,00,
65144520,00000097,false,Tx,1,8,F2,C3,7F,CE,05,02,00,00,
65145773,00000124,false,Tx,1,8,1B,E2,57,4F,4A,31,21,01,
65155663,00000097,false,Tx,1,8,DF,C4,7F,CE,05,FE,01,00,
65165256,00000097,false,Tx,1,8,C1,C5,7F,CE,05,FA,01,00,
65166570,00000124,false,Tx,1,8,52,E3,57,4F,4A,31,21,01,
65174685,00000097,false,Tx,1,8,EE,C6,7F,CE,05,02,00,00,
65181818,000003A6,false,Tx,1,8,9E,0E,00,00,00,01,00,00,
65185448,00000097,false,Tx,1,8,64,C7,7F,CE,05,02,00,00,
65186741,00000124,false,Tx,1,8,ED,E4,57,4F,4A,31,21,01,
65192482,00000566,false,Rx,1,8,58,22,FE,01,FB,07,00,00,
65197198,00000097,false,Tx,1,8,86,C8,7F,CE,05,02,00,00,
65197377,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
65204297,00000097,false,Tx,1,8,BB,C9,7F,CE,05,02,00,00,
65205676,00000124,false,Tx,1,8,10,E5,57,4F,4A,31,21,01,
65205940,000006A3,false,Tx,1,8,C1,08,99,3E,6C,66,03,00,
65209684,000003AF,false,Tx,1,8,E5,D8,F7,1F,E0,01,00,00,
65214510,00000097,false,Tx,1,8,63,CA,7F,CE,05,02,00,00,
65226172,00000097,false,Tx,1,8,7C,CB,7F,CE,05,02,00,00,
65226468,00000124,false,Tx,1,8,93,E6,57,4F,4A,31,21,01,
65235037,00000097,false,Tx,1,8,0C,CC,7F,CE,05,02,00,00,
65244547,00000097,false,Tx,1,8,D5,CD,7F,CE,05,02,00,00,
65246022,00000124,false,Tx,1,8,EF,E7,57,4F,4A,31,21,01,
65247320,00000564,false,Rx,1,8,71,04,72,71,F9,27,34,00,
65255610,00000097,false,Tx,1,8,43,CE,7F,CE,05,02,00,00,
65264962,00000097,false,Tx,1,8,01,CF,7F,CE,05,02,00,00,
65266328,00000124,false,Tx,1,8,D4,E8,57,4F,4A,31,21,01,
65275656,00000097,false,Tx,1,8,89,C0,7F,CE,05,02,00,00,
65281617,000003A6,false,Tx,1,8,88,0F,00,00,00,01,00,00,
65285403,00000097,false,Tx,1,8,2F,C1,7F,CE,05,02,00,00,
65287022,00000124,false,Tx,1,8,26,E9,57,4F,4A,31,21,01,
65292511,00000566,false,Rx,1,8,00,23,FE,01,FB,07,19,00,
65294187,00000097,false,Tx,1,8,E8,C2,7F,CE,05,02,00,00,
65297323,0000038B,false,Rx,1,8,FE,01,00,BC,F2,CA,AB,7F,
65297619,12DD5472,true,Rx,1,8,00,00,00,00,00,00,00,00,
65297860,00000565,false,Rx,1,8,00,20,00,15,0C,08,80,FF,
65298131,1A555490,true,Rx,1,8,AA,02,08,80,82,2A,A2,02,
65298422,1A555491,true,Rx,1,8,AA,59,AA,02,00,00,00,80,
65305908,00000097,false,Tx,1,8,E1,C3,7F,CE,05,FE,01,00,
65307272,00000124,false,Tx,1,8,54,EA,57,4F,4A,31,21,01,
