Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7579902,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
7676890,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
7775786,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
7876855,00000187,false,Tx,0,8,F3,0B,12,00,00,00,30,00,
7975915,00000187,false,Tx,0,8,32,0C,12,00,00,00,30,00,
8076941,00000187,false,Tx,0,8,0A,0D,12,00,00,00,30,00,
8176915,00000187,false,Tx,0,8,17,0E,12,00,00,00,30,00,
8275916,00000187,false,Tx,0,8,E2,0F,12,00,00,00,30,00,
8376920,00000187,false,Tx,0,8,92,00,12,00,00,00,30,00,
8476884,00000187,false,Tx,0,8,E5,01,12,00,00,00,30,00,
8576861,00000187,false,Tx,0,8,98,02,12,00,00,00,30,00,
8676897,00000187,false,Tx,0,8,C4,03,12,00,00,00,30,00,
8776860,00000187,false,Tx,0,8,5C,04,12,00,00,00,30,00,
8876874,00000187,false,Tx,0,8,B8,05,12,00,00,00,30,00,
8976818,00000187,false,Tx,0,8,1E,06,12,00,00,00,30,00,
9076892,00000187,false,Tx,0,8,7C,07,12,00,00,00,30,00,
9176876,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
9275938,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
9376880,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
9475818,00000187,false,Tx,0,8,F3,0B,12,00,00,00,30,00,
9576960,00000187,false,Tx,0,8,32,0C,12,00,00,00,30,00,
-1667470356307444,12DD5472,true,Rx,0,8,00,00,00,00,00,00,F8,FD,
-1667470356306975,00000594,false,Rx,0,8,00,E0,1F,83,7F,00,00,1E,
-1667470356306463,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470356301943,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470356292298,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
9676965,00000187,false,Tx,0,8,0A,0D,12,00,00,00,30,00,
-1667470356195750,17331102,true,Rx,0,4,40,00,01,3C,00,00,00,00,
-1667470356191355,17332510,true,Rx,0,8,09,42,03,00,25,00,04,04,
-1667470356190971,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
9776957,00000187,false,Tx,0,8,17,0E,12,00,00,00,30,00,
-1667470356102358,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
9876945,00000187,false,Tx,0,8,E2,0F,12,00,00,00,30,00,
9976930,00000187,false,Tx,0,8,92,00,12,00,00,00,30,00,
-1667470355902349,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
10076974,00000187,false,Tx,0,8,E5,01,12,00,00,00,30,00,
-1667470355807507,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470355807251,00000594,false,Rx,0,8,00,00,00,00,00,00,30,09,
-1667470355806953,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
10176930,00000187,false,Tx,0,8,98,02,12,00,00,00,30,00,
-1667470355702341,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
10276955,00000187,false,Tx,0,8,C4,03,12,00,00,00,30,00,
-1667470355591243,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
10376928,00000187,false,Tx,0,8,5C,04,12,00,00,00,30,00,
-1667470355502289,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
10475958,00000187,false,Tx,0,8,B8,05,12,00,00,00,30,00,
10577042,00000187,false,Tx,0,8,1E,06,12,00,00,00,30,00,
-1667470355307396,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470355307140,00000594,false,Rx,0,8,00,00,00,00,00,00,10,09,
-1667470355306884,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470355302234,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
10675858,00000187,false,Tx,0,8,7C,07,12,00,00,00,30,00,
-1667470355271174,17332510,true,Rx,0,4,49,50,1F,00,00,00,00,00,
10775947,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
-1667470355141177,17332510,true,Rx,0,3,49,5C,21,00,00,00,00,00,
-1667470355102225,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470355091175,17332510,true,Rx,0,3,49,5E,03,00,00,00,00,00,
10878004,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
-1667470355041130,17332510,true,Rx,0,4,49,50,1F,01,00,00,00,00,
-1667470354991128,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
10976999,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
-1667470354902173,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
11078017,00000187,false,Tx,0,8,F3,0B,12,00,00,00,30,00,
-1667470354807331,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470354807075,00000594,false,Rx,0,8,00,00,00,00,00,12,20,09,
-1667470354806777,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
11175881,00000187,false,Tx,0,8,32,0C,12,00,00,00,30,00,
-1667470354771024,17332510,true,Rx,0,8,80,09,49,51,11,00,FF,FF,
-1667470354721022,17332510,true,Rx,0,4,49,50,1F,21,00,00,00,00,
-1667470354702164,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470354671020,17332510,true,Rx,0,6,C0,FF,FF,01,FF,01,00,00,
11277971,00000187,false,Tx,0,8,0A,0D,12,00,00,00,30,00,
11377101,00000187,false,Tx,0,8,17,0E,12,00,00,00,30,00,
-1667470354502113,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
11477976,00000187,false,Tx,0,8,E2,0F,12,00,00,00,30,00,
-1667470354390931,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
11577010,00000187,false,Tx,0,8,92,00,12,00,00,00,30,00,
-1667470354307205,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470354306991,00000594,false,Rx,0,8,00,00,00,00,00,12,30,09,
-1667470354306693,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470354302085,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
11675966,00000187,false,Tx,0,8,E5,01,12,00,00,00,30,00,
-1667470354252083,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
11776007,00000187,false,Tx,0,8,98,02,12,00,00,00,30,00,
-1667470354102034,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
11878019,00000187,false,Tx,0,8,C4,03,12,00,00,00,30,00,
11977053,00000187,false,Tx,0,8,5C,04,12,00,00,00,30,00,
-1667470353901982,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
12078024,00000187,false,Tx,0,8,B8,05,12,00,00,00,30,00,
-1667470353807140,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470353806884,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
-1667470353806585,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470353790757,17331102,true,Rx,0,2,14,42,00,00,00,00,00,00,
-1667470353780688,17332510,true,Rx,0,8,39,42,03,00,25,00,04,04,
12177041,00000187,false,Tx,0,8,1E,06,12,00,00,00,30,00,
-1667470353701973,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470353681964,00000594,false,Rx,0,8,00,00,00,00,00,12,30,09,
12276965,00000187,false,Tx,0,8,7C,07,12,00,00,00,30,00,
12376988,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
-1667470353501922,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
12477930,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
12577014,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
-1667470353307144,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470353306888,00000594,false,Rx,0,8,00,00,00,00,00,12,30,09,
-1667470353306590,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470353301982,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
12678031,00000187,false,Tx,0,8,F3,0B,12,00,00,00,30,00,
12777052,00000187,false,Tx,0,8,32,0C,12,00,00,00,30,00,
-1667470353101930,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470353090710,17332510,true,Rx,0,8,80,09,49,51,01,00,FF,FF,
12878025,00000187,false,Tx,0,8,0A,0D,12,00,00,00,30,00,
-1667470353040665,17332510,true,Rx,0,6,C0,FF,FF,01,FF,01,00,00,
12976941,00000187,false,Tx,0,8,17,0E,12,00,00,00,30,00,
-1667470352901922,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
13078031,00000187,false,Tx,0,8,E2,0F,12,00,00,00,30,00,
-1667470352807037,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470352806781,00000594,false,Rx,0,8,00,00,00,00,00,12,30,09,
-1667470352806525,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
13177090,00000187,false,Tx,0,8,92,00,12,00,00,00,30,00,
-1667470352701870,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
-1667470352680581,17332510,true,Rx,0,8,80,09,49,51,11,00,FF,FF,
13277031,00000187,false,Tx,0,8,E5,01,12,00,00,00,30,00,
-1667470352630621,17332510,true,Rx,0,6,C0,FF,FF,01,FF,01,00,00,
13377313,00000187,false,Tx,0,8,98,02,12,00,00,00,30,00,
-1667470352501861,1B000044,true,Rx,0,8,44,00,41,00,04,00,00,00,
13478040,00000187,false,Tx,0,8,C4,03,12,00,00,00,30,00,
13577415,00000187,false,Tx,0,8,5C,04,12,00,00,00,30,00,
-1667470352307000,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470352306744,00000594,false,Rx,0,8,00,00,00,00,00,12,30,09,
-1667470352306445,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470352301795,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
13676068,00000187,false,Tx,0,8,B8,05,12,00,00,00,30,00,
-1667470352171841,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
13777017,00000187,false,Tx,0,8,1E,06,12,00,00,00,30,00,
-1667470352101786,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
13878066,00000187,false,Tx,0,8,7C,07,12,00,00,00,30,00,
13977048,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
-1667470351901777,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
14078187,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
-1667470351806893,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470351806679,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
-1667470351806381,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
14177070,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
-1667470351701726,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
-1667470351690463,17332510,true,Rx,0,8,80,08,39,43,78,07,FE,FE,
14278035,00000187,false,Tx,0,8,F3,0B,12,00,00,00,30,00,
-1667470351640503,17332510,true,Rx,0,5,C0,00,00,00,00,00,00,00,
14377554,00000187,false,Tx,0,8,32,0C,12,00,00,00,30,00,
-1667470351501717,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
14478206,00000187,false,Tx,0,8,0A,0D,12,00,00,00,30,00,
14577971,00000187,false,Tx,0,8,17,0E,12,00,00,00,30,00,
-1667470351306817,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470351306561,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
-1667470351306262,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470351301655,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
14678095,00000187,false,Tx,0,8,E2,0F,12,00,00,00,30,00,
14778082,00000187,false,Tx,0,8,92,00,12,00,00,00,30,00,
-1667470351101646,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
14878066,00000187,false,Tx,0,8,E5,01,12,00,00,00,30,00,
14978096,00000187,false,Tx,0,8,98,02,12,00,00,00,30,00,
-1667470350901594,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
15077987,00000187,false,Tx,0,8,C4,03,12,00,00,00,30,00,
-1667470350806752,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470350806496,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
-1667470350806198,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
15178245,00000187,false,Tx,0,8,5C,04,12,00,00,00,30,00,
-1667470350701585,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
-1667470350690407,17332510,true,Rx,0,3,39,44,0A,00,00,00,00,00,
15278104,00000187,false,Tx,0,8,B8,05,12,00,00,00,30,00,
15378120,00000187,false,Tx,0,8,1E,06,12,00,00,00,30,00,
-1667470350501534,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
15478146,00000187,false,Tx,0,8,7C,07,12,00,00,00,30,00,
15578050,00000187,false,Tx,0,8,4D,08,12,00,00,00,30,00,
-1667470350306615,12DD5472,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1667470350306401,00000594,false,Rx,0,8,00,00,00,00,02,32,30,09,
-1667470350306103,17F00044,true,Rx,0,8,20,44,00,00,00,00,00,80,
-1667470350301452,1B000044,true,Rx,0,8,44,00,44,00,00,00,00,00,
15678074,00000187,false,Tx,0,8,D7,09,12,00,00,00,30,00,
15778109,00000187,false,Tx,0,8,27,0A,12,00,00,00,30,00,
