Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
19880,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
20180,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
20520,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA
20820,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
21120,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
21410,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
21760,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
22050,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
22400,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
22690,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
22990,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
23330,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
23630,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
23970,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
24270,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
24610,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
24960,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
25250,1BFE223A,TRUE,Rx,0,8,4,1,0,0,53,0,0,0
25550,1BFE223B,TRUE,Rx,0,8,2,0,0,0,0,0,0,0
25890,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
26240,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
26530,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
99960,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
119880,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
120180,1BFE2207,TRUE,Rx,0,8,46,0,0,86,0,40,0,4
120480,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
