Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1666864172635251,0000038B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172615369,1BFE221A,true,Rx,0,8,00,A6,00,00,7E,00,00,00,
-1666864172615071,1BFE2205,true,Rx,0,8,45,44,00,00,00,41,09,30,
-1666864172614772,1BFE2215,true,Rx,0,8,60,97,9E,80,80,80,AA,9A,
-1666864172614431,1BFE2216,true,Rx,0,8,00,00,00,00,00,00,C0,FA,
-1666864172614132,1BFE2217,true,Rx,0,8,00,00,CD,B5,A6,00,00,00,
-1666864172613833,1BFE2218,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172613492,1BFE2219,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172613193,1BFE221B,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172612895,1BFE221C,true,Rx,0,8,00,00,3F,00,00,00,00,00,
-1666864172612554,1BFE221E,true,Rx,0,8,7D,01,00,00,00,00,00,00,
-1666864172612255,1BFE2222,true,Rx,0,8,00,00,58,00,7E,1C,00,00,
-1666864172611956,1BFE2223,true,Rx,0,8,11,01,00,00,00,00,00,00,
-1666864172611615,1BFE2225,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172611316,1BFE2227,true,Rx,0,8,00,00,00,00,00,04,00,00,
-1666864172610975,1BFE2232,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172610676,1BFE2235,true,Rx,0,8,81,04,00,00,00,00,00,00,
-1666864172610335,1BFE2238,true,Rx,0,8,00,00,32,00,01,01,00,00,
-1666864172610036,1BFE2239,true,Rx,0,8,00,01,01,00,00,00,00,00,
-1666864172609695,1BFE223A,true,Rx,0,8,04,01,00,00,57,00,00,00,
-1666864172609396,1BFE223B,true,Rx,0,8,06,00,00,00,00,00,00,00,
-1666864172609055,1BFE223C,true,Rx,0,8,22,00,00,00,00,00,00,00,
-1666864172608714,1BFE223D,true,Rx,0,8,00,00,00,00,00,00,00,5C,
-1666864172608415,1BFE2248,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172535246,0000038B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172515365,1BFE221A,true,Rx,0,8,00,A5,00,00,7E,00,00,00,
-1666864172515066,1BFE2205,true,Rx,0,8,45,44,00,00,00,41,09,0A,
-1666864172514768,1BFE2215,true,Rx,0,8,60,97,9E,80,80,80,AA,9A,
-1666864172514469,1BFE2216,true,Rx,0,8,00,00,00,00,00,00,C0,FA,
-1666864172514170,1BFE2217,true,Rx,0,8,00,00,CD,B5,A6,00,00,00,
-1666864172513829,1BFE2218,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172513530,1BFE2219,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172513189,1BFE221B,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172512890,1BFE221C,true,Rx,0,8,00,00,3F,00,00,00,00,00,
-1666864172512592,1BFE221E,true,Rx,0,8,7D,01,00,00,00,00,00,00,
-1666864172512250,1BFE2222,true,Rx,0,8,00,00,58,00,7E,1C,00,00,
-1666864172511952,1BFE2223,true,Rx,0,8,11,01,00,00,00,00,00,00,
-1666864172511653,1BFE2225,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172511312,1BFE2227,true,Rx,0,8,00,00,00,00,00,04,00,00,
-1666864172511013,1BFE2232,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172510672,1BFE2235,true,Rx,0,8,81,04,00,00,00,00,00,00,
-1666864172510373,1BFE2238,true,Rx,0,8,00,00,32,00,01,01,00,00,
-1666864172510032,1BFE2239,true,Rx,0,8,00,01,01,00,00,00,00,00,
-1666864172509733,1BFE223A,true,Rx,0,8,04,01,00,00,61,00,00,00,
-1666864172509392,1BFE223B,true,Rx,0,8,10,00,00,00,00,00,00,00,
-1666864172509051,1BFE223C,true,Rx,0,8,22,00,00,00,00,00,00,00,
-1666864172508752,1BFE223D,true,Rx,0,8,00,00,00,00,00,00,00,5C,
-1666864172508411,1BFE2248,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172435285,0000038B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172415361,1BFE221A,true,Rx,0,8,00,A6,00,00,7E,00,00,00,
-1666864172415062,1BFE2205,true,Rx,0,8,45,44,00,00,00,41,09,0C,
-1666864172414763,1BFE2215,true,Rx,0,8,60,97,9E,80,80,80,AA,9A,
-1666864172414465,1BFE2216,true,Rx,0,8,00,00,00,00,00,00,C0,FA,
-1666864172414166,1BFE2217,true,Rx,0,8,00,00,CD,B5,A6,00,00,00,
-1666864172413867,1BFE2218,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172413526,1BFE2219,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172413227,1BFE221B,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172412886,1BFE221C,true,Rx,0,8,00,00,3F,00,00,00,00,00,
-1666864172412587,1BFE221E,true,Rx,0,8,7D,01,00,00,00,00,00,00,
-1666864172412289,1BFE2222,true,Rx,0,8,00,00,58,00,7E,1C,00,00,
-1666864172411947,1BFE2223,true,Rx,0,8,11,01,00,00,00,00,00,00,
-1666864172411649,1BFE2225,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172411307,1BFE2227,true,Rx,0,8,00,00,00,00,00,04,00,00,
-1666864172411009,1BFE2232,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172410667,1BFE2235,true,Rx,0,8,81,04,00,00,00,00,00,00,
-1666864172410369,1BFE2238,true,Rx,0,8,00,00,32,00,01,01,00,00,
-1666864172410028,1BFE2239,true,Rx,0,8,00,01,01,00,00,00,00,00,
-1666864172409729,1BFE223A,true,Rx,0,8,04,01,00,00,57,00,00,00,
-1666864172409388,1BFE223B,true,Rx,0,8,06,00,00,00,00,00,00,00,
-1666864172409089,1BFE223C,true,Rx,0,8,22,00,00,00,00,00,00,00,
-1666864172408748,1BFE223D,true,Rx,0,8,00,00,00,00,00,00,00,5C,
-1666864172408406,1BFE2248,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172335280,0000038B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172315399,1BFE221A,true,Rx,0,8,00,A6,00,00,7E,00,00,00,
-1666864172315100,1BFE2215,true,Rx,0,8,60,97,9E,80,80,80,AA,9A,
-1666864172314801,1BFE2216,true,Rx,0,8,00,00,00,00,00,00,C0,FA,
-1666864172314460,1BFE2217,true,Rx,0,8,00,00,CD,B5,A6,00,00,00,
-1666864172314161,1BFE2218,true,Rx,0,8,00,00,00,00,00,00,00,00,
-1666864172313863,1BFE2219,true,Rx,0,8,00,00,00,00,00,00,00,00,
