Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
0,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
19920,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
20220,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
20520,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
20820,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A5,0,0,0,,
21160,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
21460,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
21750,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
22100,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
22390,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
22740,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
23030,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
23330,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
23670,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
23970,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
24310,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
24610,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
24950,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
25250,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
25590,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
25940,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
26230,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
26580,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
100000,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
119880,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
120180,1BFE2209,TRUE,Rx,0,8,0,0,1,0,60,30,0,0,,
120480,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
120820,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA,,
121120,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0,,
121420,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
121720,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
122060,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
122360,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
122700,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
123000,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
