Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
19880,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
20180,1BFE2207,TRUE,Rx,0,8,46,0,0,86,0,2C,1,4
20480,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A
20780,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA
21080,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0
21420,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
21720,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
22010,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
22360,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0
22650,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0
22950,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0
23290,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0
23590,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
23930,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0
24230,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
24570,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0
24870,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0
25210,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0
25510,1BFE223A,TRUE,Rx,0,8,4,1,0,0,59,0,0,0
25850,1BFE223B,TRUE,Rx,0,8,8,0,0,0,0,0,0,0
26150,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0
26490,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C
26840,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0
99960,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
119890,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0
120180,1BFE2207,TRUE,Rx,0,8,46,0,0,88,0,2C,1,4
